Member Section,Mass,Moment (%),Shear (%),Connection,Design Capacity
200UB,18.2,100,50,"{'Cleat': {'Thickness': 16, 'Width': 130, 'Length': 350}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 5}}","{'Moment Top': 52, 'Moment (Bottom)': 52, 'Shear': 92}"
200UB,22.3,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 390}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 5}}","{'Moment Top': 65, 'Moment (Bottom)': 65, 'Shear': 105}"
200UB,25.4,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 390}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 75, 'Moment (Bottom)': 75, 'Shear': 122}"
200UB,29.8,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 390}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 91, 'Moment (Bottom)': 91, 'Shear': 135}"
250UB,25.7,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 430}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 92, 'Moment (Bottom)': 92, 'Shear': 129}"
250UB,31.4,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 440}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 114, 'Moment (Bottom)': 114, 'Shear': 159}"
250UB,37.3,100,50,"{'Cleat': {'Thickness': 25, 'Width': 180, 'Length': 470}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 140, 'Moment (Bottom)': 140, 'Shear': 170}"
310UB,32.0,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 480}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 134, 'Moment (Bottom)': 134, 'Shear': 170}"
310UB,40.4,100,50,"{'Cleat': {'Thickness': 25, 'Width': 180, 'Length': 520}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 182, 'Moment (Bottom)': 182, 'Shear': 192}"
310UB,46.2,100,50,"{'Cleat': {'Thickness': 25, 'Width': 180, 'Length': 520}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 197, 'Moment (Bottom)': 197, 'Shear': 213}"
360UB,44.7,100,50,"{'Cleat': {'Thickness': 25, 'Width': 200, 'Length': 570}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 8}}","{'Moment Top': 222, 'Moment (Bottom)': 222, 'Shear': 252}"
